ctr,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,dff,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Test
Cyprus,Cyprus,"1,654",,22 ,,"1,369",,263,1,"1,368",18,"362,046"
Latvia,Latvia,"1,572",,36 ,,"1,248",,288,,836,19,"301,818"
Lesotho,Lesotho,"1,507",,35 ,,766,,706,,702,16,"18,122"
French Polynesia,French Polynesia,"1,469",+75,5 ,+3,"1,237",+67,227,5,"5,222",18,"26,355"
Liberia,Liberia,"1,337",,82 ,,"1,219",,36,,263,16,
Martinique,Martinique,"1,290",,20 ,,98,,"1,172",9,"3,438",53,"34,717"
Niger,Niger,"1,193",,69 ,,"1,107",,17,,49,3,"21,016"
Chad,Chad,"1,164",,82 ,,997,,85,,70,5,
Vietnam,Vietnam,"1,069",,35 ,,991,,43,,11,0.4,"1,009,145"
Sao Tome and Principe,Sao Tome and Principe,908,,15 ,,880,,13,,"4,126",68,"4,674"
San Marino,San Marino,723,,42 ,,669,,12,3,"21,297","1,237","7,470"
167,Diamond Princess,712,,13 ,,651,,48,4,,,
Turks and Caicos,Turks and Caicos,676,+4,5 ,,588,+7,83,3,"17,406",129,"3,066"
Channel Islands,Channel Islands,654,,48 ,,575,,31,2,"3,754",275,"123,884"
Sint Maarten,Sint Maarten,616,+22,21 ,+1,517,+5,78,6,"14,330",489,"2,720"
Papua New Guinea,Papua New Guinea,527,,7 ,,232,,288,,59,0.8,"17,276"
Tanzania,Tanzania,509,,21 ,,183,,305,7,8,0.3,
Taiwan,Taiwan,509,,7 ,,480,,22,,21,0.3,"92,368"
Burundi,Burundi,476,,1 ,,462,,13,,40,0.08,"34,140"
Comoros,Comoros,470,,7 ,,453,,10,,538,8,
Faeroe Islands,Faeroe Islands,451,, ,,416,,35,,"9,222",,"121,707"
Mauritius,Mauritius,367,,10 ,,339,,18,,288,8,"242,944"
Saint Martin,Saint Martin,367,,8 ,,273,,86,11,"9,455",206,"3,834"
Eritrea,Eritrea,364,, ,,309,,55,,102,,
Gibraltar,Gibraltar,357,, ,,324,,33,,"10,597",,"43,941"
Isle of Man,Isle of Man,340,,24 ,,312,,4,,"3,994",282,"12,213"
Mongolia,Mongolia,313,, ,,302,,11,1,95,,"66,819"
Curaçao,Curaçao,301,,1 ,,104,,196,1,"1,833",6,"1,080"
Cambodia,Cambodia,275,, ,,274,,1,,16,,"128,969"
Bhutan,Bhutan,261,, ,,196,+1,65,,337,,"129,899"
Cayman Islands,Cayman Islands,210,,1 ,,205,,4,,"3,187",15,"38,003"
Monaco,Monaco,199,,1 ,,165,,33,1,"5,063",25,"51,953"
Barbados,Barbados,189,,7 ,,174,,8,,657,24,"21,972"
Bermuda,Bermuda,181,,9 ,,167,,5,,"2,909",145,"60,717"
Brunei ,Brunei ,145,,3 ,,142,,0,,331,7,"56,691"
Seychelles,Seychelles,143,, ,,136,,7,,"1,452",,"5,200"
Liechtenstein,Liechtenstein,116,,1 ,,110,,5,,"3,040",26,900
Antigua and Barbuda,Antigua and Barbuda,97,,3 ,,92,,2,,989,31,"2,490"
British Virgin Islands,British Virgin Islands,69,,1 ,,48,,20,2,"2,279",33,"4,410"
Caribbean Netherlands,Caribbean Netherlands,69,,1 ,,21,,47,,"2,626",38,"1,996"
St. Vincent Grenadines,St. Vincent Grenadines,64,, ,,64,,0,,576,,"4,778"
Macao,Macao,46,, ,,46,,0,,71,,"4,238"
St. Barth,St. Barth,45,, ,,25,,20,,"4,553",,"2,668"
Fiji,Fiji,32,,2 ,,28,,2,1,36,2,"9,912"
Saint Lucia,Saint Lucia,27,, ,,26,,1,,147,,"7,766"
Timor-Leste,Timor-Leste,27,, ,,27,,0,,20,,"6,783"
New Caledonia,New Caledonia,26,, ,,26,,0,,91,,"13,875"
Dominica,Dominica,24,, ,,18,,6,,333,,"2,612"
Grenada,Grenada,24,, ,,24,,0,,213,,"6,252"
Laos,Laos,23,, ,,22,,1,,3,,"48,774"
Saint Kitts and Nevis,Saint Kitts and Nevis,19,, ,,17,,2,,357,,"2,138"
Greenland,Greenland,14,, ,,14,,0,,247,,"7,505"
Montserrat,Montserrat,13,,1 ,,12,,0,,"2,604",200,449
Falkland Islands,Falkland Islands,13,, ,,13,,0,,"3,712",,"2,261"
Vatican City,Vatican City,12,, ,,12,,0,,"14,981",,
Saint Pierre Miquelon,Saint Pierre Miquelon,12,, ,,6,,6,,"2,074",,"1,967"
Western Sahara,Western Sahara,10,,1 ,,8,,1,,17,2,
213,MS Zaandam,9,,2 ,,,,7,,,,
Anguilla,Anguilla,3,, ,,3,,0,,200,,"1,020"
China,China,"85,314",+7,"4,634 ",,"80,513",+8,167,4,59,3,"160,000,000"
